City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
2966778,ballina,100,IE,1603140495,94,54.12,-9.17,52.0,7.0
2446796,bilma,0,NE,1603140496,14,18.69,12.92,83.64,6.4
1729456,bacungan,100,PH,1603140496,83,9.91,118.7,79.72,5.06
5380437,pacific grove,20,US,1603140496,77,36.62,-121.92,78.8,6.93
3874930,puerto varas,75,CL,1603140296,76,-41.32,-72.99,50.0,8.05
1489822,teguldet,100,RU,1603140496,98,57.31,88.17,31.17,12.06
6067747,matagami,97,CA,1603140450,76,49.75,-77.63,38.21,5.1
1052944,angoche,0,MZ,1603140496,83,-16.23,39.91,75.7,6.49
897456,sinazongwe,0,ZM,1603140496,30,-17.26,27.46,79.93,4.38
1529484,hami,2,CN,1603140497,49,42.8,93.45,46.17,3.74
6620467,saint-jean-port-joli,100,CA,1603140497,85,47.22,-70.27,51.01,8.01
3670218,san andres,75,CO,1603140426,70,12.58,-81.7,89.6,5.82
3374083,bathsheba,20,BB,1603140497,66,13.22,-59.52,87.8,6.93
3374235,sal rei,20,CV,1603140497,78,16.18,-22.92,82.4,16.11
5117949,freeport,1,US,1603140299,68,40.66,-73.58,66.0,8.05
1789647,xichang,100,CN,1603140497,80,27.9,102.26,54.1,1.99
2023584,imeni poliny osipenko,0,RU,1603140497,84,52.42,136.49,23.14,4.79
548625,alekseyevka,99,RU,1603140497,71,53.25,50.49,39.2,4.47
1856697,miyoshi,75,JP,1603140498,87,35.08,137.07,53.6,5.82
2219235,awbari,0,LY,1603140498,51,26.59,12.78,73.18,13.69
5172078,sidney,91,US,1603140498,100,40.28,-84.16,50.0,7.52
239300,mango,99,CF,1603140498,91,4.65,22.36,71.37,1.97
1920772,zhoucheng,100,CN,1603140498,1,35.91,116.31,59.0,5.21
5058868,devils lake,20,US,1603140498,46,48.11,-98.87,30.2,8.05
3707058,la palma,100,PA,1603140498,80,8.4,-78.15,81.25,9.26
462984,zhirnovsk,100,RU,1603140499,58,50.98,44.77,45.43,5.93
644499,nivala,100,FI,1603140499,92,63.92,24.97,28.0,4.0
1488788,tyubuk,100,RU,1603140499,86,56.06,60.94,45.99,1.97
